SCH_ID,STU_ID,Profmath2,mathach,byses,usecalc,usecompu,urban,gender
2021,202101,1,53.434,1.340000033,5,1,0,0
2021,202102,1,41.035,0.910000026,5,1,0,0
2021,202103,1,40.227,-0.310000002,5,1,0,0
2021,202105,0,24.476,0.550000012,5,1,0,0
2021,202106,1,42.738,1.470000029,5,1,0,0
2021,202107,0,24.16,0.039999999,1,3,0,0
2021,202108,1,49.462,0.07,5,1,0,0
2021,202109,1,52.092,1.470000029,5,2,0,0
2021,202110,1,36.226,0.379999995,5,1,0,1
2021,202112,1,55.14,1.730000019,5,1,0,1
2021,202113,1,32.673,-0.5,5,1,0,1
2021,202116,1,44.608,-0.709999979,5,1,0,0
2021,202117,1,42.02,1.100000024,5,1,0,0
2021,202119,1,56.979,0.649999976,5,1,0,1
2021,202122,1,38.215,0.140000001,5,1,0,0
2021,202123,1,51.5,0.610000014,3,1,0,1
2021,202127,0,18.391,-0.419999987,1,1,0,0
2022,202202,0,17.868,-0.75999999,5,3,0,0
2022,202203,1,41.194,0.159999996,5,5,0,0
2022,202206,0,27.109,-0.699999988,5,3,0,1
2022,202211,0,29.106,0.360000014,2,2,0,0
2022,202213,0,14.268,0.059999999,4,5,0,1
2022,202215,1,41.201,0.239999995,3,3,0,1
2031,203102,1,42.819,0.090000004,5,1,0,1
2031,203104,0,29.357,-0.289999992,4,2,0,1
2031,203112,0,23.217,-0.790000021,5,1,0,1
2031,203118,1,43.995,1.149999976,2,1,0,0
2032,203202,0,26.742,-0.219999999,5,1,0,0
2032,203203,0,14.579,-1.419999957,3,3,0,1
2032,203208,0,26.826,-0.330000013,5,4,0,1
2032,203211,0,27.321,-0.230000004,4,1,0,0
2032,203217,1,40.173,-0.230000004,5,2,0,1
2032,203221,0,24.077,-0.589999974,2,2,0,0
2032,203223,0,25.488,0.370000005,2,3,0,0
2032,203227,1,42.593,-0.959999979,5,1,0,0
2032,203231,1,33.202,-0.889999986,4,5,0,0
2032,203232,1,38.952,-0.289999992,5,1,0,0
2041,204101,0,25.309,0.409999996,5,1,0,0
2041,204102,0,25.246,0.170000002,5,5,0,0
2041,204103,1,37.593,-0.100000001,5,4,0,1
2041,204104,1,58.359,-0.409999996,5,1,0,1
2041,204106,1,47.565,-1.049999952,5,5,0,0
2041,204111,1,38.051,-0.360000014,5,5,0,1
2041,204112,1,32.155,-0.140000001,5,1,0,1
2041,204113,0,24.911,-0.689999998,4,1,0,1
2041,204114,1,29.348,0.910000026,5,5,0,0
2041,204115,0,22.433,0.319999993,1,2,0,0
2041,204118,0,20.464,-0.75,5,2,0,1
2041,204120,1,33.436,-0.180000007,5,1,0,0
2042,204201,1,57.485,-0.569999993,5,1,0,0
2042,204202,1,33.281,-0.280000001,5,1,0,0
2042,204203,1,44.291,-0.620000005,5,1,0,0
2042,204205,0,16.032,-0.150000006,2,4,0,0
2042,204207,1,34.978,-1.179999948,2,2,0,0
