age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
52,working class,IAP,high school,12,IAP,favor,very happy,more or less,female,4,IAP,0,3,1,1,1,
61,lower class,13612.5,graduate,18,strongly agree,favor,not too happy,not at all sat,female,3,2,0,2,1,0,0,0
58,working class,59895,high school,12,IAP,favor,pretty happy,more or less,male,4,IAP,1,3,0,1,1,
31,middle class,3993,junior college,14,disagree,favor,very happy,more or less,male,1,2,0,4,0,0,1,1
52,middle class,32670,bachelor,16,IAP,favor,pretty happy,not at all sat,female,11,IAP,0,3,1,1,1,
46,working class,32670,junior college,16,agree,oppose,very happy,satisfied,female,6,1,0,3,1,1,1,5
54,working class,72600,lt high school,12,disagree,favor,very happy,more or less,male,11,3,1,4,0,0,1,1
33,middle class,59895,graduate,18,disagree,favor,very happy,more or less,male,2,1,1,3,0,1,1,4
61,lower class,9982.5,high school,12,IAP,favor,not too happy,not at all sat,female,1,IAP,0,2,1,0,0,
66,lower class,IAP,lt high school,11,agree,favor,not too happy,not at all sat,female,11,1,0,1,1,0,0,1
41,working class,5445,high school,12,IAP,favor,not too happy,not at all sat,female,2,IAP,0,1,1,0,0,
50,working class,59895,high school,12,IAP,favor,pretty happy,more or less,male,1,IAP,1,4,0,0,1,
75,working class,IAP,high school,14,IAP,oppose,not too happy,not at all sat,male,5,IAP,0,3,0,1,1,
27,lower class,13612.5,lt high school,14,IAP,favor,pretty happy,not at all sat,male,1,IAP,1,2,0,0,0,
55,middle class,72600,graduate,20,IAP,favor,pretty happy,more or less,male,1,IAP,1,4,0,0,1,
51,working class,49005,high school,14,disagree,favor,pretty happy,not at all sat,female,1,2,1,3,1,0,1,6
56,middle class,101640,bachelor,16,agree,favor,very happy,more or less,male,3,2,0,4,0,0,1,3
41,middle class,163843.84698,graduate,18,IAP,favor,pretty happy,satisfied,female,1,IAP,0,2,1,1,0,
67,working class,32670,high school,14,IAP,favor,pretty happy,not at all sat,male,4,IAP,0,3,0,0,1,
38,working class,8167.5,high school,12,strongly agree,favor,pretty happy,not at all sat,female,3,3,0,2,1,0,0,0
76,middle class,27225,graduate,16,IAP,favor,not too happy,more or less,female,4,IAP,0,2,1,0,0,
66,middle class,11797.5,junior college,14,disagree,oppose,not too happy,more or less,male,2,4,0,1,0,0,0,2
84,working class,8167.5,bachelor,17,IAP,favor,pretty happy,satisfied,female,4,IAP,0,2,1,0,0,
46,working class,8167.5,bachelor,16,IAP,oppose,pretty happy,more or less,male,6,IAP,1,3,0,0,1,
67,middle class,49005,graduate,18,IAP,favor,pretty happy,satisfied,male,1,IAP,0,4,0,1,1,
34,working class,59895,high school,12,agree,favor,pretty happy,more or less,male,3,3,1,3,0,1,1,1
29,working class,363,lt high school,8,disagree,favor,not too happy,more or less,female,4,2,0,2,1,1,0,0
39,working class,15427.5,high school,14,IAP,favor,pretty happy,more or less,female,4,IAP,0,3,1,0,1,
51,working class,19965,lt high school,2,IAP,favor,very happy,more or less,female,6,IAP,0,3,1,0,1,
40,working class,49005,lt high school,8,strongly agree,favor,very happy,more or less,female,6,2,1,2,1,1,0,0
32,working class,17242.5,lt high school,9,agree,favor,pretty happy,not at all sat,male,1,3,1,3,0,0,1,1
79,middle class,17242.5,high school,13,IAP,oppose,very happy,more or less,female,6,IAP,0,3,1,0,1,
49,middle class,101640,bachelor,16,agree,favor,very happy,satisfied,male,4,3,1,3,0,0,1,2
22,working class,59895,junior college,15,strongly agree,favor,pretty happy,more or less,male,3,2,0,3,0,0,1,1
30,middle class,72600,bachelor,16,agree,favor,pretty happy,not at all sat,male,4,4,1,4,0,1,1,3
47,middle class,163843.84698,high school,15,disagree,favor,pretty happy,satisfied,male,2,2,1,3,0,1,1,2
37,middle class,49005,bachelor,16,IAP,favor,very happy,more or less,male,3,IAP,1,3,0,0,1,
38,working class,101640,bachelor,16,strongly agree,favor,pretty happy,more or less,female,1,1,1,3,1,0,1,0
46,middle class,163843.84698,graduate,20,agree,favor,not too happy,more or less,male,1,0,0,1,0,1,0,0
21,middle class,49005,high school,15,agree,favor,pretty happy,more or less,male,1,1,0,3,0,0,1,0
43,middle class,IAP,high school,12,disagree,oppose,very happy,DK,male,1,5,0,4,0,1,1,1
45,middle class,163843.84698,bachelor,16,IAP,favor,very happy,not at all sat,female,1,IAP,0,4,1,1,1,
77,middle class,49005,high school,12,IAP,favor,pretty happy,satisfied,male,9,IAP,0,3,0,1,1,
45,working class,32670,lt high school,12,strongly agree,oppose,pretty happy,more or less,female,5,2,1,3,1,0,1,0
47,working class,59895,high school,13,strongly agree,favor,very happy,satisfied,male,3,2,1,2,0,0,0,1
41,middle class,163843.84698,bachelor,16,IAP,favor,very happy,satisfied,male,2,IAP,1,2,0,1,0,
50,working class,49005,lt high school,6,IAP,favor,very happy,not at all sat,male,7,IAP,1,4,0,1,1,
25,working class,59895,high school,17,IAP,favor,pretty happy,not at all sat,male,1,IAP,1,2,0,0,0,
45,middle class,163843.84698,graduate,18,IAP,favor,very happy,satisfied,male,0,IAP,1,3,0,1,1,
48,middle class,49005,high school,12,DK,favor,very happy,more or less,female,6,2,1,3,1,1,1,5
25,working class,39930,graduate,17,IAP,favor,pretty happy,more or less,male,1,IAP,1,3,0,0,1,
33,working class,39930,bachelor,18,IAP,favor,pretty happy,more or less,female,7,IAP,1,2,1,0,0,
70,middle class,27225,high school,12,strongly agree,favor,pretty happy,satisfied,female,5,3,0,4,1,0,1,0
66,middle class,163843.84698,bachelor,16,IAP,favor,very happy,satisfied,female,1,IAP,0,3,1,1,1,
81,middle class,87120,graduate,19,IAP,favor,pretty happy,satisfied,male,2,IAP,0,3,0,1,1,
48,working class,101640,bachelor,19,strongly agree,favor,not too happy,more or less,female,3,2,1,3,1,0,1,0
62,working class,49005,bachelor,18,IAP,favor,pretty happy,more or less,female,4,IAP,0,3,1,1,1,
43,working class,59895,high school,12,IAP,favor,pretty happy,not at all sat,male,1,IAP,1,2,0,1,0,
34,middle class,39930,high school,16,strongly agree,favor,very happy,satisfied,female,3,0,1,4,1,0,1,2
32,middle class,49005,high school,14,agree,favor,very happy,more or less,male,1,2,1,2,0,0,0,3
51,middle class,49005,high school,12,strongly agree,oppose,very happy,satisfied,male,8,4,0,3,0,1,1,0
44,upper class,101640,graduate,17,strongly agree,NA,pretty happy,satisfied,female,1,4,0,4,1,1,1,0
36,DK,72600,high school,13,IAP,favor,pretty happy,more or less,female,1,IAP,0,3,1,1,1,
35,working class,163843.84698,bachelor,16,IAP,favor,pretty happy,satisfied,female,3,IAP,1,4,1,1,1,
36,lower class,59895,bachelor,18,IAP,favor,very happy,not at all sat,male,1,IAP,0,3,0,0,1,
19,working class,IAP,high school,12,IAP,oppose,not too happy,satisfied,male,6,IAP,0,4,0,0,1,
30,working class,39930,bachelor,16,agree,favor,very happy,more or less,female,5,1,1,3,1,0,1,0
62,middle class,59895,high school,13,agree,oppose,very happy,not at all sat,male,3,3,0,1,0,1,0,1
35,middle class,59895,graduate,20,IAP,oppose,pretty happy,satisfied,female,1,IAP,1,2,1,1,0,
41,working class,IAP,high school,14,agree,favor,very happy,more or less,male,2,2,1,4,0,0,1,6
62,middle class,49005,graduate,20,agree,favor,pretty happy,not at all sat,female,2,2,0,3,1,0,1,3
20,working class,363,high school,13,IAP,favor,pretty happy,more or less,male,1,IAP,1,4,0,0,1,
30,working class,2541,high school,13,strongly agree,oppose,very happy,not at all sat,female,3,2,0,3,1,0,1,1
47,NA,59895,high school,12,agree,oppose,pretty happy,not at all sat,female,1,4,0,2,1,0,0,1
44,working class,72600,lt high school,11,IAP,favor,pretty happy,satisfied,male,8,IAP,1,3,0,1,1,
44,working class,49005,graduate,18,IAP,favor,very happy,not at all sat,female,2,IAP,0,3,1,1,1,
62,middle class,72600,bachelor,16,strongly agree,favor,pretty happy,satisfied,female,2,2,0,3,1,0,1,0
69,working class,23595,high school,13,agree,favor,very happy,more or less,female,1,7,0,3,1,0,1,1
48,middle class,IAP,high school,15,IAP,favor,pretty happy,not at all sat,male,2,IAP,1,2,0,0,0,
59,middle class,27225,bachelor,16,IAP,favor,very happy,more or less,male,2,IAP,1,4,0,1,1,
54,middle class,23595,lt high school,9,agree,favor,very happy,more or less,female,5,4,0,2,1,1,0,1
49,working class,13612.5,high school,14,strongly agree,favor,pretty happy,not at all sat,female,6,3,0,3,1,0,1,3
47,working class,IAP,high school,12,IAP,favor,pretty happy,satisfied,female,6,IAP,0,4,1,1,1,
83,middle class,IAP,high school,12,agree,favor,pretty happy,satisfied,female,3,8,0,4,1,0,1,0
38,working class,59895,junior college,14,IAP,favor,pretty happy,more or less,male,2,IAP,1,3,0,0,1,
28,working class,49005,high school,14,IAP,favor,pretty happy,more or less,male,4,IAP,1,3,0,1,1,
73,working class,116160,high school,12,disagree,favor,pretty happy,satisfied,female,6,3,1,3,1,0,1,0
31,middle class,72600,graduate,17,agree,favor,pretty happy,more or less,female,2,2,1,4,1,0,1,1
50,middle class,163843.84698,bachelor,19,agree,oppose,very happy,satisfied,male,1,1,1,3,0,1,1,2
67,middle class,8167.5,high school,11,disagree,favor,very happy,satisfied,female,5,2,0,1,1,0,0,0
41,middle class,19965,lt high school,12,IAP,favor,very happy,satisfied,male,8,IAP,1,3,0,1,1,
60,middle class,59895,bachelor,19,strongly agree,favor,pretty happy,more or less,female,2,5,0,4,1,1,1,1
36,middle class,72600,bachelor,16,IAP,favor,very happy,satisfied,female,6,IAP,0,3,1,1,1,
39,middle class,163843.84698,bachelor,16,strongly agree,favor,pretty happy,more or less,female,4,2,1,3,1,1,1,1
23,middle class,17242.5,high school,13,strongly agree,favor,pretty happy,satisfied,female,7,15,0,3,1,0,1,1
63,lower class,8167.5,lt high school,9,IAP,favor,not too happy,not at all sat,female,3,IAP,0,1,1,0,0,
40,middle class,17242.5,high school,13,agree,favor,very happy,satisfied,male,4,0,1,3,0,0,1,0
40,working class,72600,high school,14,strongly agree,favor,pretty happy,more or less,male,2,3,1,4,0,1,1,1
30,middle class,116160,graduate,19,strongly agree,favor,very happy,satisfied,female,2,2,1,3,1,1,1,1
60,middle class,72600,high school,12,IAP,favor,very happy,satisfied,male,6,IAP,1,2,0,0,0,
69,middle class,49005,bachelor,16,IAP,favor,pretty happy,satisfied,male,9,IAP,0,3,0,0,1,
43,working class,49005,high school,12,strongly disagree,oppose,very happy,satisfied,male,2,3,1,4,0,0,1,1
28,middle class,32670,high school,12,agree,oppose,pretty happy,not at all sat,male,5,4,0,3,0,0,1,1
69,middle class,101640,bachelor,16,strongly agree,favor,pretty happy,not at all sat,female,2,2,0,2,1,1,0,0
27,lower class,2541,lt high school,8,IAP,favor,pretty happy,not at all sat,female,12,IAP,0,4,1,0,1,
62,working class,32670,junior college,14,disagree,favor,pretty happy,not at all sat,female,5,3,0,3,1,1,1,1
74,lower class,13612.5,high school,14,strongly agree,favor,not too happy,not at all sat,male,7,5,0,1,0,0,0,0
32,working class,363,high school,12,IAP,favor,not too happy,more or less,female,3,IAP,0,3,1,0,1,
68,lower class,32670,high school,12,agree,favor,pretty happy,more or less,female,6,6,0,3,1,1,1,0
39,working class,32670,high school,12,IAP,favor,pretty happy,more or less,male,2,IAP,1,3,0,0,1,
21,working class,32670,high school,12,strongly agree,favor,very happy,not at all sat,female,10,0,0,2,1,0,0,0
52,middle class,163843.84698,bachelor,16,agree,favor,very happy,satisfied,female,3,1,1,4,1,0,1,1
46,upper class,163843.84698,bachelor,16,agree,favor,pretty happy,satisfied,male,1,1,1,3,0,1,1,1
56,middle class,163843.84698,high school,12,IAP,favor,pretty happy,satisfied,male,1,IAP,0,4,0,1,1,
42,working class,49005,high school,13,disagree,oppose,very happy,not at all sat,male,4,3,1,1,0,1,0,1
35,working class,49005,high school,9,IAP,favor,not too happy,satisfied,male,13,IAP,1,2,0,1,0,
58,middle class,116160,bachelor,17,IAP,oppose,very happy,satisfied,male,3,IAP,1,3,0,1,1,
59,upper class,163843.84698,bachelor,16,disagree,favor,very happy,satisfied,female,3,4,0,3,1,1,1,3
44,middle class,72600,graduate,18,IAP,favor,very happy,satisfied,male,2,IAP,1,3,0,1,1,
